case_id	side	waffle_status	cherchi_class	cherchi_detail
R0019	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0019	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0020	A	Failed	combined_failures	Manifold check: failed;Watertight check: failed;Local  Orientation check: failed;Global Orientation check: passed;Intersection check: failed
R0020	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0021	A	Failed	combined_failures	Manifold check: failed;Watertight check: failed;Local  Orientation check: failed;Global Orientation check: failed;Intersection check: failed
R0021	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0022	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0022	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0023	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0023	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0024	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0024	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0025	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0025	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0026	A	Failed	combined_failures	Manifold check: failed;Watertight check: failed;Local  Orientation check: failed;Global Orientation check: passed;Intersection check: failed
R0026	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0027	A	Failed	combined_failures	parse-error:  
R0027	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0028	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0028	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0029	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0029	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0030	A	Failed	non_watertight	Manifold check: passed;Watertight check: failed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0030	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0031	A	Failed	combined_failures	Manifold check: failed;Watertight check: failed;Local  Orientation check: failed;Global Orientation check: passed;Intersection check: failed
R0031	B	Failed	combined_failures	Manifold check: failed;Watertight check: failed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: failed
R0032	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0032	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0033	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0033	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0034	A	Failed	combined_failures	Manifold check: failed;Watertight check: failed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: failed
R0034	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0035	A	Failed	combined_failures	Manifold check: failed;Watertight check: failed;Local  Orientation check: failed;Global Orientation check: failed;Intersection check: failed
R0035	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0036	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0036	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0037	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0037	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0038	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0038	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0039	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0039	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0040	A	Failed	combined_failures	Manifold check: failed;Watertight check: failed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: failed
R0040	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0041	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0041	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0042	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0042	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0043	A	Failed	non_watertight	Manifold check: passed;Watertight check: failed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0043	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0044	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0044	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0045	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0045	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0046	A	Failed	combined_failures	Manifold check: failed;Watertight check: failed;Local  Orientation check: failed;Global Orientation check: passed;Intersection check: failed
R0046	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0047	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0047	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0048	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0048	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0049	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0049	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0050	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0050	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0051	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0051	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0052	A	MissingDump		
R0052	B	MissingDump		
R0053	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0053	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0054	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0054	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0055	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0055	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0056	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0056	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0057	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0057	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0058	A	Failed	combined_failures	Manifold check: failed;Watertight check: failed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: failed
R0058	B	Failed	combined_failures	Manifold check: failed;Watertight check: failed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: failed
R0059	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0059	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0060	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0060	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0061	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0061	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0062	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0062	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0063	A	Failed	combined_failures	Manifold check: failed;Watertight check: failed;Local  Orientation check: failed;Global Orientation check: passed;Intersection check: failed
R0063	B	Failed	combined_failures	parse-error:  
R0064	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0064	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0065	A	Failed	combined_failures	Manifold check: failed;Watertight check: failed;Local  Orientation check: failed;Global Orientation check: failed;Intersection check: failed
R0065	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0066	A	Failed	non_watertight	Manifold check: passed;Watertight check: failed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0066	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0067	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0067	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0068	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0068	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0069	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0069	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0070	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0070	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0071	A	MissingDump		waffle-timeout: 60s
R0071	B	MissingDump		waffle-timeout: 60s
R0072	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0072	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0073	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0073	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0074	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0074	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0075	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0075	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0076	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0076	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0077	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0077	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0078	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0078	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0079	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0079	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0080	A	Passed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0080	B	Passed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0081	A	Failed	combined_failures	Manifold check: passed;Watertight check: failed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: failed
R0081	B	Failed	combined_failures	parse-error:  
R0082	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0082	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0083	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0083	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0084	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0084	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0085	A	Failed	combined_failures	Manifold check: passed;Watertight check: failed;Local  Orientation check: failed;Global Orientation check: passed;Intersection check: failed
R0085	B	Failed	combined_failures	Manifold check: passed;Watertight check: failed;Local  Orientation check: failed;Global Orientation check: passed;Intersection check: failed
R0086	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0086	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0087	A	Failed	combined_failures	Manifold check: failed;Watertight check: failed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0087	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0088	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0088	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0089	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0089	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0090	A	Failed	combined_failures	Manifold check: failed;Watertight check: failed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: failed
R0090	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0091	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0091	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0092	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0092	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0093	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0093	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0094	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0094	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0095	A	Failed	combined_failures	parse-error: [31mWARNING: adding duplicated poly![39m [31mWARNING: adding duplicated poly![39m [31mWARNING: adding duplicated poly![39m [31mWARNING: adding duplicated poly![39m [31mWARNING: a
R0095	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0096	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0096	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0097	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0097	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0098	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0098	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0099	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0099	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
R0100	A	Failed	combined_failures	Manifold check: passed;Watertight check: failed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: failed
R0100	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
F0001	A	Passed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
F0001	B	Passed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
F0002	A	Passed	self_intersecting	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: failed
F0002	B	Passed	self_intersecting	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: failed
F0003	A	Passed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
F0003	B	Passed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
F0004	A	Passed	self_intersecting	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: failed
F0004	B	Passed	self_intersecting	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: failed
F0005	A	Failed	combined_failures	Manifold check: passed;Watertight check: failed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: failed
F0005	B	Failed	combined_failures	Manifold check: passed;Watertight check: failed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: failed
F0006	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
F0006	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
F0007	A	Passed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
F0007	B	Passed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
F0008	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
F0008	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
F0009	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
F0009	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
F0010	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
F0010	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
F0011	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
F0011	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
F0012	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
F0012	B	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
F0013	A	Failed	valid	Manifold check: passed;Watertight check: passed;Local  Orientation check: passed;Global Orientation check: passed;Intersection check: passed
